Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
England,594,173.5,3.42,594,1,draw,India,The Oval,1982-07-08,0,10
Pakistan,594,184.83333333333334,3.21,363,2,won,Sri Lanka,Dhaka,1999-03-12,0,10
South Africa,594,145.0,4.09,594,1,draw,England,Birmingham,2003-07-24,1,5
Pakistan,594,176.83333333333334,3.35,459,2,won,Bangladesh,Chattogram,2011-12-09,1,5
England,593,,2.9,593,1,won,New Zealand,Auckland,1975-02-20,1,6
West Indies,593,180.33333333333334,3.28,593,1,draw,England,St John's,1994-04-16,1,5
England,593,206.16666666666666,2.87,0,2,draw,West Indies,St John's,1994-04-16,0,10
New Zealand,593,165.0,3.59,593,1,draw,South Africa,Cape Town,2006-04-27,1,8
England,593,156.33333333333334,3.79,593,1,draw,South Africa,Lord's,2008-07-10,1,8
England,592,170.16666666666666,3.47,592,1,draw,Australia,Perth,1986-11-28,1,8
England,592,107.66666666666667,5.49,275,2,draw,Australia,Manchester,2023-07-19,0,10
India,591,189.5,3.11,244,2,won,England,Wankhede,1993-02-19,0,10
Sri Lanka,591,156.83333333333334,3.76,146,2,won,England,The Oval,1998-08-27,0,10
West Indies,591,167.66666666666666,3.52,234,2,draw,Pakistan,Multan,2006-11-19,0,10
England,591,153.0,3.86,591,1,won,India,The Oval,2011-08-18,1,6
Sri Lanka,591,131.0,4.51,591,1,won,Ireland,Galle,2023-04-16,1,6
Sri Lanka,590,202.66666666666666,2.91,142,2,won,West Indies,Galle,2001-11-13,1,9
West Indies,590,184.16666666666666,3.2,590,1,draw,India,Wankhede,2011-11-22,0,10
England,589,190.83333333333334,3.08,398,2,won,Australia,Melbourne,1912-02-09,0,10
England,589,152.33333333333334,3.86,589,1,won,Pakistan,Manchester,2016-07-22,1,8
Australia,589,127.0,4.63,589,1,won,Pakistan,Adelaide,2019-11-29,1,3
South Africa,588,163.0,3.6,588,1,draw,West Indies,St John's,2005-04-29,1,6
Pakistan,588,136.33333333333334,4.31,588,1,draw,India,Faisalabad,2006-01-21,0,10
India,588,148.33333333333334,3.96,588,1,draw,West Indies,Gros Islet,2006-06-10,1,8
Sri Lanka,587,156.66666666666666,3.74,587,1,draw,Bangladesh,Chattogram,2014-02-04,0,10
Australia,586,172.5,3.39,586,1,lost,England,Sydney,1894-12-14,0,10
New Zealand,586,146.0,4.01,586,1,won,Sri Lanka,Dunedin,1997-03-07,1,7
